#,UNIT,ELEMENT,QUANTITY
1,"C1, C11",MLCC22pFNPO50V5%0805 ,2
2,C2,GRM219R71E224KA01D ,1
3,"C3, C9, C12, C13, C14, C15, C16, C18, C19, C22, C24, C25, C26, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39",GRM21BR71H104K ,25
4,C4,TECAP10/6.3VB10 ,1
5,C5,AFC107M50G24T-F,1
6,C6,GRM32ER71H475KA88L,1
7,"C7, C23, C27, C44, C49, C69",GRM21BR71A106KE51L ,6
8,"C8, C10, C20",TECAP100/6.3VB10 ,3
9,"C17, C40",GRM21BR71C105KA01K ,2
10,C21,593D107X9010D2TE3,1
11,"D1, D3, D24",FYL-3014GD1A,3
12,"D2, D10, D15",BAT54S,3
13,"D4, D7",VS-15MQ040NTRPBF,2
14,"D5, D11, D17, D20, D21, D23, D25, D26",PMLL4148L,8
15,"D6, D8, D9, D16, D18, D19",SMBJ6.0CA,6
16,"D12, D14, D22",SMBJ36CA,3
17,D13,SMBJ5.0CA,1
18,F1,MF-R051,1
19,IC1,TME 0505S,1
20,J1,PBD-20 (DS1023-2x10),1
21,"J2, J4","15EDGVC-3,5-12P-14-00A(H)",2
21,,"15EDGK-3,5-12P-14-00A(H)",2
22,J3,15EDGVC-3.5-03P-14-00AH,1
,,15EDGK-3.5-03P,1
23,"L1, L2",BL01RN1A2A2B,2
24,L3,SRU1038-331Y,1
25,"L4, L7",CM322522-101KL,2
26,"Q1, Q6, Q7, Q9",BCP56-17,4
27,"R1, R2, R27, R28, R29, R30, R32, R49",RC0805FR-07510RL ,8
28,"R3, R15, R20, R36, R45, R51",RC0805FR-0710KL ,6
29,R4,RC0805FR-07300RL ,1
30,"R5, R31",RC0805FR-0751RL ,2
31,"R6, R33",RC0805FR-07100KL ,2
32,"R7, R8, R9, R10, R11, R12, R13, R17, R18, R21, R22, R34, R35, R37, R40, R41, R46, R47, R50, R52, R53",RC0805FR-071KL ,21
33,R14,RC0805FR-07120RL ,1
34,R16,RC0805FR-07560RL ,1
35,"R19, R42",RC2512FR-0710RL ,2
36,"R23, R24, R38, R39",RC0805FR-0715KL ,4
37,"R26, R44",RC0805FR-0762KL ,2
38,R48,**Ñ2-29 0.125 Âò 0.1% 100 Îì,1
39,S1,DS1040-02RN,1
40,U1,,1
41,U2,dsPIC33EP256GP506-I/PT,1
42,U3,LM2937IMP-3.3/NOPB (L69B),1
43,U4,24LC256-I/SM,1
44,"U5, U11",LM317AEMP/NOPB,2
45,U6,LM2594M-5.0,1
46,U7,ISO1050DW,1
47,"U8, U14, U15",MCP602-I/SN,3
48,"U9, U10",ADUM1100ARZ-RL7,2
49,"U12, U13",XTR115U,2
50,"U16, U17, U18, U19, U20",CPC1035NTR,5
51,U22,ADR06AUJZ,1
52,"VO1, VO2",PC817A [PC817X1],2
53,Y2,8.000MHzHC-49US ,1
